[Summary],,,,,,,,,,,,,,
Novonix HPC data file,,,,,,,,,,,,,,
Novonix,,,,,,,,,,,,,,
Channel: 13,,,,,,,,,,,,,,
Cell,,,,,,,,,,,,,,
Serial Number: ,,,,,,,,,,,,,,
Description: LGM50_120,,,,,,,,,,,,,,
Protocol: C_over_2_discharge.pro1,,,,,,,,,,,,,,
Mass (g): 1.000,,,,,,,,,,,,,,
Capacity (Ah): 1.000,,,,,,,,,,,,,,
Area (cm2): 1.000,,,,,,,,,,,,,,
DC Offset Voltage (V): 0.00000,,,,,,,,,,,,,,
Started: 5/4/2021 7:14:08 PM,,,,,,,,,,,,,,
Version: 2.2.0.2,,,,,,,,,,,,,,
[End Summary],,,,,,,,,,,,,,
[Protocol],,,,,,,,,,,,,,
Protocol: C_over_2_discharge.pro1,,,,,,,,,,,,,,
[0: Open_circuit_storage:],,,,,,,,,,,,,,
   [End step when step time > 2 hours],,,,,,,,,,,,,,
   [Save data when Δt > 120 seconds],,,,,,,,,,,,,,
   [StepLimits -999 999999 0 500 0 100 0 100 -45 80 -40 80 2.3 4.3 2.3 4.3 0.01 10 0.01 20],,,,,,,,,,,,,,
[6: Increment_cycle_counter:],,,,,,,,,,,,,,
[5: Repeat: 5 time(s) Node count: 7],,,,,,,,,,,,,,
   [3: CC-CV_charge: 1.5 A to 4.2 V],,,,,,,,,,,,,,
      [Any time, End step when step time > 6 hours or when capacity > 5.5 Ah],,,,,,,,,,,,,
      [During CV, End step when abs(I) < 0.05 A],,,,,,,,,,,,,
      [During CC, Save data when ΔV > 0.01 V or when Δt > 120 seconds],,,,,,,,,,,,,
      [During CV, Save data when ΔI > 1 mA or when Δt > 120 seconds],,,,,,,,,,,,,
05/04/2021 21:27,2,7,2.2275083,0.227375,1.499993572,3.46668503,0.341123563,25.83951378,17.898,1.156094385,0,0,3,0
05/04/2021 21:29,2,7,2.2608833,0.26075,1.499994108,3.47467936,0.391185852,25.90494537,18.619,1.329846904,0,0,3,0
05/04/2021 21:31,2,7,2.2942583,0.294125,1.499993203,3.48268507,0.441248136,25.93996429,19.293,1.503996901,0,0,3,0
05/04/2021 21:33,2,7,2.3276333,0.3275,1.499992499,3.49113415,0.49131043,25.93113708,19.843,1.678558316,0,0,3,0
05/04/2021 21:35,2,7,2.3609667,0.3608333,1.499993739,3.49989451,0.541310215,25.91741753,19.439,1.853331221,0,0,3,0
05/04/2021 21:37,2,7,2.3943417,0.3942083,1.499994108,3.50871754,0.591372499,25.90062904,19.034,2.028762603,0,0,3,0
05/04/2021 21:39,2,7,2.4277167,0.4275833,1.499992734,3.51789462,0.641434786,25.8808651,18.796,2.204645272,0,0,3,0
05/04/2021 21:41,2,7,2.4610917,0.4609583,1.499992667,3.52745472,0.691497073,25.848629,18.57,2.38099573,0,0,3,0
05/04/2021 21:43,2,7,2.4937167,0.4935833,1.499993572,3.53747087,0.740434368,25.83020782,18.565,2.553862043,0,0,3,0
05/04/2021 21:45,2,7,2.5240083,0.523875,1.499993974,3.54747192,0.785871669,25.7958622,18.13,2.714820389,0,0,3,0
05/04/2021 21:47,2,7,2.5530083,0.552875,1.499994108,3.55749319,0.829371495,25.77034187,18.673,2.869352206,0,0,3,0
05/04/2021 21:49,2,7,2.5819667,0.5818333,1.499993471,3.56749796,0.872808821,25.75383949,19.297,3.024098631,0,0,3,0
05/04/2021 21:50,2,7,2.6117167,0.6115833,1.499993404,3.57751854,0.917433637,25.74338341,19.953,3.183521108,0,0,3,0
05/04/2021 21:52,2,7,2.6423,0.6421667,1.499993438,3.58758892,0.963308443,25.73561287,19.594,3.347868561,0,0,3,0
05/04/2021 21:54,2,7,2.672675,0.6725417,1.499993806,3.59759075,1.008870751,25.72429085,19.116,3.511555018,0,0,3,0
05/04/2021 21:56,2,7,2.7035917,0.7034583,1.49999384,3.60763231,1.055245567,25.72505951,19.528,3.678626293,0,0,3,0
05/04/2021 21:58,2,7,2.7369667,0.7368333,1.499993974,3.61737668,1.105307863,25.71009254,19.788,3.859480338,0,0,3,0
05/04/2021 22:00,2,7,2.7703,0.7701667,1.499993035,3.62614573,1.15530765,25.69685364,19.225,4.040571931,0,0,3,0
05/04/2021 22:02,2,7,2.803675,0.8035417,1.499994443,3.63398478,1.205369942,25.68793106,18.703,4.222305986,0,0,3,0
05/04/2021 22:04,2,7,2.83705,0.8369167,1.499993136,3.64082441,1.255432233,25.69052124,18.322,4.404406648,0,0,3,0
05/04/2021 22:06,2,7,2.870425,0.8702917,1.499994074,3.64698221,1.305494524,25.69416809,18.062,4.586830419,0,0,3,0
05/04/2021 22:08,2,7,2.9038,0.9036667,1.499994142,3.65283374,1.355556826,25.70500755,18.444,4.76955391,0,0,3,0
05/04/2021 22:10,2,7,2.9371333,0.937,1.499992968,3.65854485,1.405556619,25.70884514,18.855,4.952338263,0,0,3,0
05/04/2021 22:12,2,7,2.9705083,0.970375,1.499993237,3.66424945,1.45561889,25.72678566,18.717,5.13563645,0,0,3,0
05/04/2021 22:14,2,7,3.0038833,1.00375,1.499993706,3.66998581,1.505681167,25.74510956,18.533,5.319220506,0,0,3,0
05/04/2021 22:16,2,7,3.0372583,1.037125,1.499993002,3.67577391,1.555743447,25.75959587,18.426,5.503092745,0,0,3,0
05/04/2021 22:18,2,7,3.0706333,1.0705,1.499994142,3.68162901,1.605805734,25.79039192,18.705,5.687256568,0,0,3,0
05/04/2021 22:20,2,7,3.1040083,1.103875,1.499994108,3.68760347,1.655868022,25.81092453,18.983,5.87171606,0,0,3,0
05/04/2021 22:22,2,7,3.1373833,1.13725,1.499993806,3.69365182,1.705930304,25.83951378,18.588,6.056476607,0,0,3,0
05/04/2021 22:24,2,7,3.1707583,1.170625,1.49999317,3.69982952,1.755992592,25.87270927,18.519,6.241544017,0,0,3,0
05/04/2021 22:26,2,7,3.2041333,1.204,1.499993639,3.70611969,1.806054879,25.90849495,18.548,6.426923181,0,0,3,0
05/04/2021 22:28,2,7,3.2375083,1.237375,1.499993505,3.71252302,1.856117174,25.94821548,18.947,6.612619952,0,0,3,0
05/04/2021 22:30,2,7,3.2708833,1.27075,1.499992834,3.7190832,1.90617947,25.98659325,19.148,6.798641441,0,0,3,0
05/04/2021 22:32,2,7,3.3042583,1.304125,1.499994142,3.72580766,1.956241751,26.02612305,18.761,6.984995487,0,0,3,0
05/04/2021 22:34,2,7,3.3376333,1.3375,1.499993672,3.73277092,2.006304036,26.06440544,18.305,7.171691653,0,0,3,0
05/04/2021 22:36,2,7,3.3710083,1.370875,1.499993438,3.73988445,2.056366326,26.10345459,18.07,7.358740127,0,0,3,0
05/04/2021 22:38,2,7,3.4043833,1.40425,1.499994108,3.74723576,2.106428628,26.1410656,18.777,7.54615122,0,0,3,0
05/04/2021 22:40,2,7,3.4377583,1.437625,1.499994711,3.75484477,2.156490927,26.17292023,19.36,7.733936038,0,0,3,0
05/04/2021 22:42,2,7,3.4711333,1.471,1.499994041,3.76262286,2.206553219,26.21456337,19.352,7.922105631,0,0,3,0
05/04/2021 22:44,2,7,3.5045083,1.504375,1.49999327,3.77067391,2.256615511,26.23097038,18.776,8.110671846,0,0,3,0
05/04/2021 22:46,2,7,3.5378833,1.53775,1.499993572,3.77900147,2.306677798,26.27347755,18.26,8.299647567,0,0,3,0
05/04/2021 22:48,2,7,3.5712583,1.571125,1.499993907,3.78762469,2.356740097,26.27433968,18.315,8.48904776,0,0,3,0
05/04/2021 22:50,2,7,3.6046333,1.6045,1.499993538,3.79660102,2.406802397,26.3014946,18.53,8.678888647,0,0,3,0
05/04/2021 22:52,2,7,3.6380083,1.637875,1.499994142,3.80595263,2.456864685,26.30801964,18.672,8.869188244,0,0,3,0
05/04/2021 22:54,2,7,3.6713833,1.67125,1.499992767,3.81565325,2.50692697,26.31109047,18.121,9.059964739,0,0,3,0
05/04/2021 22:56,2,7,3.7047167,1.7045833,1.499992834,3.82563008,2.55692676,26.30207062,17.754,9.250995129,0,0,3,0
05/04/2021 22:58,2,7,3.7374667,1.7373333,1.499993505,3.83563712,2.606051568,26.30504417,18.245,9.439173737,0,0,3,0
05/04/2021 23:00,2,7,3.7697583,1.769625,1.499994678,3.84564858,2.654488876,26.28854179,18.907,9.625203995,0,0,3,0
05/04/2021 23:02,2,7,3.801675,1.8015417,1.499993773,3.85566747,2.702363689,26.27798653,19.548,9.809552543,0,0,3,0
05/04/2021 23:04,2,7,3.833675,1.8335417,1.49999394,3.86567311,2.750363494,26.26724052,19.12,9.994863282,0,0,3,0
05/04/2021 23:06,2,7,3.8654667,1.8653333,1.499993739,3.87568372,2.798050797,26.25064087,18.662,10.17944594,0,0,3,0
05/04/2021 23:07,2,7,3.897425,1.8972917,1.499994912,3.88569316,2.845988099,26.22099113,18.324,10.3654761,0,0,3,0
05/04/2021 23:09,2,7,3.9295917,1.9294583,1.499995013,3.89570168,2.894237906,26.18798447,18.222,10.55320211,0,0,3,0
